Date,Shandong,Guizhou,Jiangxi,Chongqing,Inner Mongolia,Hubei,Liaoning,Hunan,Fujian,Shanghai,Beijing,Guangxi,Guangdong,Sichuan,Yunnan,Jiangsu,Zhejiang,Qinghai,Ningxia,Hebei,Heilongjiang,Jilin,Tianjin,Shaanxi,Gansu,Xinjiang,Henan,Anhui,Shanxi,Hainan,Tibet
2022-10-31,654,175,216,183,145,236,229,171,254,215,265,237,603,283,143,382,343,78,83,469,132,121,184,241,145,258,515,269,180,78,0
2022-11-01,669,131,145,218,119,247,162,237,248,254,279,206,562,309,219,414,389,63,78,511,193,128,197,267,151,222,511,280,238,95,58
2022-11-02,600,167,170,109,126,216,233,251,234,227,286,199,502,256,148,405,332,67,80,392,126,121,185,246,134,252,440,274,161,169,60
2022-11-03,405,174,174,176,118,237,176,198,214,213,250,227,552,283,202,383,330,65,136,292,192,157,171,261,174,231,413,256,210,83,57
2022-11-04,653,196,238,180,145,250,265,303,252,211,268,284,526,303,174,500,331,67,80,445,164,123,220,261,193,241,530,219,256,125,57
2022-11-05,613,122,195,202,147,241,179,227,294,223,323,300,694,336,177,532,396,82,99,483,193,205,200,365,145,197,525,278,193,190,0
2022-11-06,693,126,227,197,132,190,237,320,214,244,295,261,632,330,166,451,428,120,86,484,214,189,122,222,145,179,479,281,239,96,0
2022-11-07,496,112,185,207,131,249,229,248,238,245,252,237,530,290,155,436,383,71,74,394,193,209,121,272,200,235,436,259,176,97,115
2022-11-08,525,152,157,132,135,251,255,246,254,307,284,230,584,253,174,452,381,69,86,561,191,125,123,265,212,204,512,292,217,86,58
2022-11-09,466,171,225,196,119,259,174,259,237,245,296,252,567,295,206,394,397,76,66,399,147,185,166,257,134,231,392,281,220,143,58
2022-11-10,350,106,165,143,118,259,158,201,258,231,302,187,562,279,207,367,372,58,58,440,175,93,106,229,175,152,411,245,151,89,0
2022-11-11,392,113,227,134,106,242,158,256,238,200,257,253,591,287,151,414,370,60,57,384,117,139,173,256,172,208,404,288,220,93,60
2022-11-12,515,128,231,182,109,265,224,265,268,241,290,272,576,309,173,462,383,66,71,478,189,132,172,248,108,168,404,305,251,131,57
2022-11-13,553,203,229,197,208,252,241,247,254,254,344,250,654,292,222,375,368,73,71,532,217,208,207,257,138,236,466,254,155,104,0
2022-11-14,528,139,234,164,132,246,237,248,269,233,307,273,698,298,230,424,361,66,105,544,204,220,175,280,165,235,510,247,216,106,57
2022-11-15,502,190,222,200,139,251,212,246,251,214,300,251,570,283,164,467,341,67,83,556,183,121,113,275,149,271,437,239,235,82,65
2022-11-16,452,125,138,210,96,177,237,238,237,248,317,245,638,272,214,408,391,65,127,455,178,119,189,241,194,220,459,295,230,83,58
2022-11-17,472,189,209,196,109,243,224,239,251,236,293,237,576,313,157,443,306,84,69,634,197,128,157,267,138,157,392,265,240,82,65
2022-11-18,450,145,217,187,130,222,240,184,229,224,267,187,613,296,151,445,359,123,82,606,192,141,189,281,206,179,423,227,168,105,0
2022-11-19,434,118,143,149,175,259,256,240,193,250,265,259,661,311,160,447,375,65,60,516,128,143,194,209,190,212,413,312,164,146,61
2022-11-20,446,118,246,212,108,253,158,231,264,260,289,256,668,276,160,416,380,65,70,636,143,180,176,203,201,214,456,255,164,76,61
2022-11-21,461,119,128,238,170,241,224,224,254,233,286,184,592,300,242,413,409,70,133,697,141,149,176,257,130,151,455,296,208,140,0
2022-11-22,467,117,226,229,175,265,242,260,247,257,302,250,611,307,166,417,371,70,74,886,110,132,201,280,211,163,511,285,159,74,57
2022-11-23,466,170,215,198,108,245,231,256,250,240,272,235,543,292,227,414,341,67,127,919,122,213,172,261,240,174,526,267,227,149,58
2022-11-24,500,99,218,238,179,269,251,261,219,253,319,229,587,300,170,401,328,70,74,938,192,226,169,299,192,235,497,277,168,92,0
2022-11-25,404,109,152,224,174,206,252,183,253,233,283,219,567,309,141,404,375,66,67,908,202,195,117,257,181,192,458,228,148,92,0
2022-11-26,469,141,216,252,169,277,179,247,274,264,309,245,620,321,148,472,408,79,67,930,198,123,132,267,205,216,464,254,170,86,0
2022-11-27,458,134,165,244,110,202,246,263,266,284,359,233,563,340,233,430,395,78,73,935,204,215,115,259,211,145,491,294,200,128,58
2022-11-28,504,180,217,272,154,264,235,252,272,259,404,237,624,273,233,442,375,73,70,963,182,174,172,261,187,135,521,260,225,161,58
2022-11-29,447,174,222,245,102,254,158,179,230,237,371,162,551,287,158,401,304,61,63,951,121,174,179,266,252,117,461,232,185,84,0
2022-11-30,541,180,171,280,121,261,238,247,253,230,486,224,559,309,219,427,338,73,95,1037,208,123,181,266,314,193,618,285,221,148,0
2022-12-01,579,167,202,261,144,296,258,259,189,254,521,222,552,295,250,472,398,86,91,1039,130,172,176,280,307,210,698,290,269,100,58
2022-12-02,439,115,222,215,123,331,229,161,254,257,664,179,509,324,237,500,367,79,76,1099,193,215,225,271,318,217,769,306,192,159,0
2022-12-03,749,136,189,267,134,351,262,254,263,286,804,196,665,360,275,539,386,83,76,1201,239,187,187,268,340,229,880,334,248,128,57
2022-12-04,623,195,231,331,192,499,260,248,276,317,1039,225,671,496,277,514,391,74,83,1362,151,204,229,316,369,160,960,326,174,106,117
2022-12-05,582,130,227,373,163,574,290,259,271,297,1129,220,720,558,277,485,359,93,128,1538,158,211,248,290,343,204,1008,292,198,84,58
2022-12-06,685,117,195,483,180,757,298,281,264,320,1288,246,839,719,325,539,384,79,123,1827,152,226,268,305,366,210,1049,318,271,143,117
2022-12-07,678,121,174,552,187,995,343,307,261,386,1768,247,1012,975,374,560,480,112,141,1885,217,227,320,316,406,200,1180,360,274,97,58
2022-12-08,750,211,239,658,151,1117,465,351,244,370,2148,266,1076,1081,428,603,436,165,144,2055,227,232,406,351,438,139,1331,347,280,165,118
2022-12-09,951,233,306,905,227,1401,711,425,315,469,2702,285,1125,1425,636,810,553,131,139,2624,257,366,643,542,476,170,1739,446,315,182,63
2022-12-10,1010,235,349,989,274,1848,979,545,358,565,3192,358,1507,1999,889,906,637,206,143,2810,323,530,923,717,527,250,2006,600,383,131,71
2022-12-11,1145,285,477,1072,330,2104,1092,701,414,956,3426,454,2345,2548,958,1080,859,250,99,2819,360,676,1026,912,562,286,2588,772,521,157,71
2022-12-12,1471,381,647,1142,427,2586,1316,971,486,1150,3261,577,3011,2986,1011,1186,1039,294,104,2931,509,825,1109,1050,765,344,3426,986,749,180,135
2022-12-13,1905,434,925,1239,513,2846,1582,1079,533,1237,3050,837,3574,3381,994,1590,1144,316,141,2896,674,936,1132,1153,829,403,4138,1152,938,251,69
2022-12-14,2563,644,1030,1419,707,3120,1790,1298,664,1363,2697,994,4548,3677,1024,2227,1253,332,218,2681,913,942,1166,1586,906,514,4636,1726,1055,334,135
2022-12-15,4827,1027,1815,1808,1000,3630,2550,2304,1180,2005,2951,1730,7557,4256,1335,4571,2832,497,419,3256,1144,1071,1268,2578,998,898,6189,3147,1672,666,198
2022-12-16,6663,1278,2362,1937,1090,3810,3028,3213,1510,2474,2820,2307,8785,4147,1444,6460,3754,496,598,3622,1696,1307,1403,3316,1078,987,6907,4192,2289,877,130
2022-12-17,4487,998,1577,1275,980,2347,1779,2086,971,1721,1857,1643,6300,2596,1014,4432,2515,377,401,2028,1198,981,1045,2105,960,912,4662,2814,1636,435,134
2022-12-18,4909,1060,1506,1101,980,2078,1574,2119,1078,1931,1530,1583,6810,2189,1009,4603,2897,327,376,1690,1242,971,976,2025,938,935,4160,2671,1613,471,143
2022-12-19,5209,1051,1690,1073,980,1854,1351,2281,1226,2131,1429,1764,7723,1928,1026,4987,3640,334,523,1504,1311,986,907,1980,938,965,3564,2888,1654,582,223
2022-12-20,5113,1052,1691,1005,980,1500,1102,2188,1563,2162,1248,1830,8641,1574,1014,4746,4117,288,551,1204,1226,955,781,1766,883,961,2995,2570,1454,707,225
2022-12-21,4603,1041,1513,908,977,1140,1024,1945,1720,1997,1157,1879,8395,1277,998,4154,4009,254,571,1058,1073,917,546,1570,787,929,2196,2025,1321,665,208
2022-12-22,4171,1021,1253,788,943,1059,988,1744,1857,1650,1103,1812,7216,1081,987,3609,3600,183,560,1023,1029,837,433,1453,735,918,1839,1728,1168,762,147
2022-12-23,3809,974,1098,625,917,963,915,1501,2017,1513,993,1749,6782,989,970,3060,3442,170,502,1010,961,753,375,1247,607,803,1441,1523,1056,760,119
2022-12-24,3399,937,1005,582,915,894,810,1243,2097,1374,984,1525,6149,942,950,2603,2927,233,513,972,925,595,364,1050,542,769,1184,1234,1001,824,125
2022-12-25,2828,837,955,436,732,861,655,1057,1897,1222,1024,1235,5087,893,935,2177,2448,171,469,954,799,553,342,1014,495,613,1092,1067,939,666,125
2022-12-26,2026,659,832,409,563,654,560,996,1766,1170,786,1066,4130,737,822,1696,2066,97,339,668,599,450,276,952,396,436,989,995,772,626,115
2022-12-27,1784,526,700,360,502,564,496,905,1659,1071,748,967,3241,569,716,1340,1573,162,349,676,507,383,284,910,313,417,946,938,643,622,96
2022-12-28,1340,485,560,280,398,476,404,691,1232,924,700,863,2268,519,623,1117,1185,137,289,600,378,312,244,666,280,340,763,820,516,483,83
